name,username,password
<<<<<<< Updated upstream
admin,admin,admin
dario,dario,dario
=======
User1,user1,password1
User2,user2,password2
User3,user3,password3
User4,user4,password4
User5,user5,password5
User6,user6,password6
User7,user7,password7
User8,user8,password8
User9,user9,password9
User10,user10,password10
User11,user11,password11
User12,user12,password12
User13,user13,password13
User14,user14,password14
User15,user15,password15
User16,user16,password16
User17,user17,password17
User18,user18,password18
User19,user19,password19
User20,user20,password20
User21,user21,password21
User22,user22,password22
User23,user23,password23
User24,user24,password24
User25,user25,password25
User26,user26,password26
User27,user27,password27
User28,user28,password28
User29,user29,password29
User30,user30,password30
User31,user31,password31
User32,user32,password32
User33,user33,password33
User34,user34,password34
User35,user35,password35
User36,user36,password36
User37,user37,password37
User38,user38,password38
User39,user39,password39
User40,user40,password40
User41,user41,password41
User42,user42,password42
User43,user43,password43
User44,user44,password44
User45,user45,password45
User46,user46,password46
User47,user47,password47
User48,user48,password48
User49,user49,password49
User50,user50,password50
User51,user51,password51
User52,user52,password52
User53,user53,password53
User54,user54,password54
User55,user55,password55
User56,user56,password56
User57,user57,password57
User58,user58,password58
User59,user59,password59
User60,user60,password60
User61,user61,password61
User62,user62,password62
User63,user63,password63
User64,user64,password64
User65,user65,password65
User66,user66,password66
User67,user67,password67
User68,user68,password68
User69,user69,password69
User70,user70,password70
User71,user71,password71
User72,user72,password72
User73,user73,password73
User74,user74,password74
User75,user75,password75
User76,user76,password76
User77,user77,password77
User78,user78,password78
User79,user79,password79
User80,user80,password80
User81,user81,password81
User82,user82,password82
User83,user83,password83
User84,user84,password84
User85,user85,password85
User86,user86,password86
User87,user87,password87
User88,user88,password88
User89,user89,password89
User90,user90,password90
User91,user91,password91
User92,user92,password92
User93,user93,password93
User94,user94,password94
User95,user95,password95
User96,user96,password96
User97,user97,password97
User98,user98,password98
User99,user99,password99
User100,user100,password100
admin,admin,admin
Miguel Alejandro,miguel,miguel
>>>>>>> Stashed changes
